Data,Impressions,Link Clicks,Amount Spent
2022-08-10,1672.0,3.0,3.53
2022-08-10,1047.0,14.895486935866984,2.79
2022-08-10,1315.0,6.0,6.81
2022-08-11,1160.0,7.0,6.88
2022-08-11,3289.0,1.0,8.9
2022-08-11,4283.0,33.0,38.28
2022-08-11,4317.0,11.0,8.95
2022-08-12,4103.0,10.0,9.14
2022-08-12,1991.0,13.0,9.4
2022-08-12,2555.0,4.0,9.18
2022-08-12,4101.0,36.0,46.46
2022-08-13,2954.0,2.0,9.98
2022-08-13,4224.0,37.0,48.18
2022-08-13,2374.0,10.0,10.39
2022-08-13,4428.0,3.0,9.87
2022-08-14,2562.0,14.0,10.84
2022-08-14,3637.0,3.0,10.3
2022-08-14,4788.0,37.0,53.19
2022-08-14,4936.0,6.0,10.41
2022-08-15,5060.0,11.0,9.84
2022-08-15,3050.0,15.0,10.5
2022-08-15,3864.0,14.895486935866984,10.02
2022-08-15,2872.0,33.0,32.66
2022-08-16,5294.0,8.0,10.05
2022-08-16,3265.0,8.0,10.48
2022-08-16,3646.0,3.0,10.22
2022-08-16,1727.0,10.0,9.88
2022-08-17,3435.0,3.0,9.85
2022-08-17,2404.0,3.0,9.54
2022-08-17,3076.0,6.0,9.75
2022-08-17,4510.0,6.0,8.75
2022-08-18,4370.0,7.0,8.86
2022-08-18,2877.0,6.0,9.09
2022-08-18,3015.0,4.0,9.12
2022-08-18,1569.0,1.0,8.5
2022-08-19,4327.0,7.0,9.07
2022-08-19,2536.0,11.0,9.32
2022-08-19,2839.0,3.0,8.68
2022-08-19,1389.0,2.0,8.4
2022-08-20,5319.0,6.0,9.83
2022-08-20,2783.0,12.0,9.84
2022-08-20,3103.0,3.0,9.81
2022-08-20,1472.0,2.0,9.14
2022-08-21,1511.0,3.0,9.9
2022-08-21,3390.0,12.0,10.85
2022-08-21,3427.0,14.895486935866984,10.23
2022-08-21,6049.0,8.0,10.58
2022-08-22,5732.0,6.0,9.81
2022-08-22,2944.0,11.0,9.39
2022-08-22,3222.0,1.0,9.61
2022-08-22,1398.0,7.0,9.31
2022-08-23,5228.0,7.0,9.22
2022-08-23,2966.0,15.0,9.97
2022-08-23,2816.0,14.895486935866984,8.66
2022-08-23,1155.0,3.0,8.91
2022-08-24,4744.0,4.0,8.75
2022-08-24,2965.0,21.0,9.01
2022-08-24,2636.0,2.0,8.77
2022-08-24,4928.0,67.0,63.48
2022-08-25,7575.0,93.0,87.55
2022-08-25,3046.0,11.0,9.08
2022-08-25,4646.0,2.0,8.58
2022-08-25,2724.0,3.0,9.76
2022-08-26,4428.0,4.0,8.64
2022-08-26,2701.0,13.0,9.24
2022-08-26,2489.0,2.0,8.56
2022-08-26,7306.0,102.0,87.08
2022-08-27,4760.0,3.0,9.57
2022-08-27,2956.0,11.0,9.39
2022-08-27,2555.0,4.0,9.42
2022-08-27,7639.0,80.0,91.68
2022-08-28,5353.0,2.0,10.19
2022-08-28,3399.0,10.0,10.16
2022-08-28,2924.0,2.0,9.33
2022-08-28,8291.0,93.0,100.24
2022-08-29,7373.0,128.0,94.7
2022-08-29,4687.0,5.0,9.11
2022-08-29,3104.0,3.0,9.79
2022-08-29,3540.0,17.0,9.67
2022-08-30,4569.0,4.0,8.88
2022-08-30,2468.0,10.0,8.2
2022-08-30,2554.0,2.0,8.69
2022-08-30,11860.0,99.0,91.13
2022-08-31,4009.0,1.0,8.37
2022-08-31,2435.0,9.0,8.55
2022-08-31,2294.0,6.0,8.33
2022-08-31,11693.0,104.0,84.88
2022-09-03,2044.0,2.0,7.92
2022-09-04,3294.0,3.0,11.04
2022-09-05,2442.0,14.895486935866984,10.35
2022-09-06,2039.0,14.895486935866984,9.66
2022-09-07,2562.0,14.895486935866984,9.56
2022-09-08,1185.0,14.895486935866984,5.07
2022-09-09,1921.0,2.0,9.04
2022-09-09,3421.0,12.0,12.02
2022-09-10,2324.0,2.0,10.45
2022-09-10,5159.0,6.0,15.71
2022-09-11,2462.0,1.0,10.86
2022-09-11,5667.0,13.0,15.63
2022-09-12,2095.0,2.0,10.51
2022-09-12,5225.0,15.0,15.18
2022-09-13,1933.0,14.895486935866984,10.12
2022-09-13,4469.0,12.0,14.67
2022-09-14,1841.0,2.0,10.06
2022-09-14,4561.0,9.0,14.3
2022-09-15,5405.0,3.0,12.9
2022-09-15,2183.0,4.0,10.27
2022-09-15,4202.0,12.0,14.38
2022-09-16,2223.0,2.0,10.27
2022-09-16,4974.0,3.0,15.23
2022-09-16,6098.0,2.0,14.87
2022-09-17,2346.0,3.0,10.55
2022-09-17,5096.0,5.0,15.81
2022-09-17,6189.0,1.0,15.38
2022-09-18,2810.0,3.0,10.76
2022-09-18,5638.0,7.0,16.03
2022-09-18,5628.0,1.0,15.64
2022-09-19,2395.0,6.0,10.25
2022-09-19,4336.0,5.0,14.43
2022-09-19,6659.0,6.0,15.9
2022-09-20,6182.0,4.0,14.41
2022-09-20,3384.0,8.0,14.19
2022-09-20,1918.0,14.895486935866984,10.45
2022-09-21,1808.0,2.0,9.95
2022-09-21,4990.0,34.0,29.67
2022-09-21,2164.0,13.0,13.01
2022-09-21,6469.0,4.0,15.34
2022-09-22,559.0,2.0,5.09
2022-09-22,1820.0,12.0,15.02
2022-09-22,5723.0,4.0,15.64
2022-09-22,8202.0,49.0,44.53
2022-09-23,483.0,1.0,4.33
2022-09-23,2216.0,14.0,13.5
2022-09-23,4824.0,1.0,14.07
2022-09-23,7380.0,46.0,38.73
2022-09-24,7832.0,54.0,42.49
2022-09-24,5044.0,2.0,15.21
2022-09-24,644.0,14.895486935866984,4.77
2022-09-24,2813.0,7.0,14.42
2022-09-25,681.0,1.0,5.07
2022-09-25,3697.0,11.0,15.95
2022-09-25,5694.0,1.0,15.97
2022-09-25,9110.0,61.0,45.0
2022-09-26,547.0,14.895486935866984,4.81
2022-09-26,2958.0,8.0,14.87
2022-09-26,5184.0,1.0,14.3
2022-09-26,9029.0,63.0,43.24
2022-09-27,4756.0,1.0,15.32
2022-09-27,8061.0,39.0,40.26
2022-09-27,2458.0,14.0,14.22
2022-09-27,385.0,1.0,4.46
2022-09-28,12008.0,75.0,68.79
2022-09-28,1215.0,1.0,9.99
2022-09-28,10663.0,51.0,106.59
2022-09-28,7126.0,5.0,32.66
2022-09-29,1479.0,14.895486935866984,12.15
2022-09-29,10042.0,36.0,141.46
2022-09-29,8121.0,2.0,37.56
2022-09-29,12084.0,94.0,78.03
2022-09-30,1588.0,14.895486935866984,11.16
2022-09-30,10469.0,36.0,133.28
