Data,Impressions,Link Clicks
01/03/2022,1555,29
01/03/2022,3944,64
01/03/2022,4689,60
01/03/2022,107555,955
01/03/2022,186576,2254
01/03/2022,105491,956
01/03/2022,87432,1067
02/03/2022,21573,237
02/03/2022,931,13
02/03/2022,929,5
02/03/2022,10506,146
02/03/2022,1178,16
02/03/2022,2914,33
02/03/2022,5454,66
02/03/2022,29,
02/03/2022,17,
02/03/2022,24,
02/03/2022,390,32
02/03/2022,271,27
02/03/2022,456,27
02/03/2022,168792,1776
02/03/2022,183707,2357
02/03/2022,55479,497
02/03/2022,132937,1609
02/03/2022,8622,68
02/03/2022,1791,28
02/03/2022,3744,20
02/03/2022,3895,49
02/03/2022,712,8
02/03/2022,2123,36
02/03/2022,726,21
02/03/2022,373,8
02/03/2022,452,9
02/03/2022,3085,33
03/03/2022,16851,167
03/03/2022,644,8
03/03/2022,395,2
03/03/2022,9493,93
03/03/2022,108,1
03/03/2022,394,15
03/03/2022,196,4
03/03/2022,229,2
03/03/2022,74,
03/03/2022,171,11
03/03/2022,3843,142
03/03/2022,2567,99
03/03/2022,1376,65
03/03/2022,365,3
03/03/2022,425,6
03/03/2022,13337,124
03/03/2022,4246,78
03/03/2022,3959,28
03/03/2022,6514,116
03/03/2022,1284,24
03/03/2022,3028,54
03/03/2022,2046,51
03/03/2022,409,6
03/03/2022,1211,24
03/03/2022,321128,3714
03/03/2022,49684,382
03/03/2022,140369,1768
03/03/2022,706,2
03/03/2022,2007,18
03/03/2022,498,5
04/03/2022,14256,134
04/03/2022,1211,19
04/03/2022,688,5
04/03/2022,7537,69
04/03/2022,112,2
04/03/2022,188,3
04/03/2022,74,
04/03/2022,285,9
04/03/2022,86,1
04/03/2022,206,
04/03/2022,2613,70
04/03/2022,1667,56
04/03/2022,1010,32
04/03/2022,266,4
04/03/2022,563,5
04/03/2022,550,72
04/03/2022,265,26
04/03/2022,473,45
04/03/2022,12715,125
04/03/2022,5920,80
04/03/2022,4113,26
04/03/2022,6148,143
04/03/2022,1469,35
04/03/2022,2454,37
04/03/2022,1373,29
04/03/2022,341,7
04/03/2022,1728,25
04/03/2022,143194,2135
04/03/2022,35143,520
04/03/2022,188940,5405
04/03/2022,164,
04/03/2022,558,4
04/03/2022,285,4
04/03/2022,10678,73
04/03/2022,11337,19
04/03/2022,14559,279
04/03/2022,591,18
04/03/2022,43068,808
04/03/2022,242,4
05/03/2022,1694,18
05/03/2022,293,3
05/03/2022,156,1
05/03/2022,856,6
05/03/2022,161,5
05/03/2022,375,7
05/03/2022,151,
05/03/2022,409,15
05/03/2022,131,3
05/03/2022,304,6
05/03/2022,1335,45
05/03/2022,1447,61
05/03/2022,643,27
05/03/2022,33,
05/03/2022,62,1
05/03/2022,1619,43
05/03/2022,851,21
05/03/2022,2088,62
05/03/2022,203,3
05/03/2022,5741,109
05/03/2022,8077,161
05/03/2022,196,3
05/03/2022,2191,56
05/03/2022,1794,43
05/03/2022,8652,84
05/03/2022,3535,50
05/03/2022,1568,11
05/03/2022,2842,70
05/03/2022,407,7
05/03/2022,972,21
05/03/2022,1204,32
05/03/2022,132,3
05/03/2022,3819,33
05/03/2022,40323,717
05/03/2022,51267,1827
05/03/2022,114190,3703
05/03/2022,95,2
05/03/2022,333,3
05/03/2022,117,4
05/03/2022,33600,684
05/03/2022,41881,960
05/03/2022,21903,359
05/03/2022,32102,625
05/03/2022,15067,318
05/03/2022,4382,47
05/03/2022,10648,147
05/03/2022,3859,66
05/03/2022,5613,68
05/03/2022,962,9
05/03/2022,16812,129
05/03/2022,6394,37
05/03/2022,4526,25
05/03/2022,2570,6
06/03/2022,1737,23
06/03/2022,261,3
06/03/2022,134,1
06/03/2022,512,2
06/03/2022,255,3
06/03/2022,458,1
06/03/2022,232,3
06/03/2022,1750,34
06/03/2022,551,12
06/03/2022,1153,18
06/03/2022,1657,57
06/03/2022,1589,63
06/03/2022,785,24
06/03/2022,3,
06/03/2022,16,
06/03/2022,1133,26
06/03/2022,657,12
06/03/2022,1371,31
06/03/2022,259,4
06/03/2022,4756,62
06/03/2022,15048,224
06/03/2022,195,2
06/03/2022,3334,44
06/03/2022,5439,74
06/03/2022,9072,74
06/03/2022,6096,89
06/03/2022,1772,13
06/03/2022,3026,77
06/03/2022,451,8
06/03/2022,1375,31
06/03/2022,1757,37
06/03/2022,181,1
06/03/2022,719,5
06/03/2022,99890,2292
06/03/2022,59897,1997
06/03/2022,112928,2979
06/03/2022,126,2
06/03/2022,356,5
06/03/2022,198,1
06/03/2022,43504,1556
06/03/2022,46260,1115
06/03/2022,11430,313
06/03/2022,10670,344
06/03/2022,21558,358
06/03/2022,1824,22
06/03/2022,9832,132
06/03/2022,2210,37
06/03/2022,7226,93
06/03/2022,984,4
06/03/2022,18893,118
06/03/2022,5007,32
06/03/2022,6350,51
06/03/2022,1449,4
